arch,activation,optimizer,seq_len,grad_clip,accuracy,f1,Epoch Time(s),losses
lstm,relu,adam,25,False,0.71312,0.7131183475616819,6.840955591201782,"0.6622,0.5610,0.4902,0.4274,0.3731"
lstm,relu,adam,50,False,0.74852,0.7485139124271698,12.545891427993775,"0.6683,0.5768,0.5221,0.4629,0.4022"
lstm,relu,adam,100,False,0.8164,0.8158404839063071,24.2786826133728,"0.6781,0.6315,0.5368,0.4177,0.3476"
rnn,relu,adam,50,False,0.58008,0.5776713454856364,5.52863564491272,"0.6944,0.6838,0.6733,0.6552,0.6751"
bi_lstm,relu,adam,50,False,0.76056,0.7602367131581752,24.863934803009034,"0.6814,0.5896,0.5085,0.4390,0.3822"
lstm,tanh,adam,50,False,0.74644,0.7464242543662203,12.6035484790802,"0.6791,0.6276,0.5493,0.4884,0.4343"
lstm,sigmoid,adam,50,False,0.75668,0.7566538817584676,12.603969717025757,"0.6938,0.6552,0.5337,0.4498,0.3862"
lstm,relu,sgd,50,False,0.5118,0.5012203807068895,11.637718439102173,"0.6934,0.6931,0.6931,0.6931,0.6932"
lstm,relu,rmsprop,50,False,0.7352,0.730567799173397,12.182934188842774,"0.6464,0.5461,0.4780,0.4249,0.3798"
lstm,relu,adam,50,True,0.75856,0.7584937708773654,12.866430807113648,"0.6665,0.5667,0.4832,0.4182,0.3619"
